ID,TopConfigs
tile:xla:0023795810403f8b0b244d88c901322f,464;1511;1638;1850;2367;2494;2536;2878;3024;3553
tile:xla:005c91ca7a50fffc663678fd44316f04,544;21;208;288;368;376;498;502;588;623
tile:xla:0070642211d5a98a16b94f4d7df229fe,970;626;254;813;299;773;577;805;763;189
tile:xla:008191e0c67a6e7a62cde1a3e1d66795,38;539;1377;1093;588;929;115;1150;610;1051
tile:xla:008730b43f100be7c2800d7cb89578a4,495;668;216;241;307;451;904;884;281;625
tile:xla:009040dea1165803d6af5279ee67e941,46;61;58;18;16;56;59;31;42;54
tile:xla:009743ae0b7421c0ba735134e658d70e,1986;5161;7198;1810;3738;6203;6448;4977;3056;4517
tile:xla:015cd725adcf2df7ec863bd1d9abf058,865;1072;1251;2150;2801;2825;3192;3204;801;317
tile:xla:0290924419976cd8cdcddd0b5288e9d7,24;611;154;662;964;1078;1347;391;209;1237
tile:xla:029880c396f26948e1afbeed8cef9359,284;396;402;41;43;144;152;194;212;282
tile:xla:02c3fb6c0fe263318106bd86942c9ba7,1036;5973;406;8775;5937;4382;4847;1502;5514;8891
tile:xla:02df75f5a82412dcfd3989a5a12ee279,215;254;273;434;760;864;978;994;1157;1285
tile:xla:038af90a3a43967d62556ed734835c8a,1548;4245;5422;7073;9573;1121;4438;8520;5734;7612
tile:xla:045ce8fc9aee4ddf82c54c0067c8af5e,2818;3072;7901;7314;4520;732;4252;3547;6624;4465
tile:xla:049295205e7eba22599751ad598cfa41,115;1;128;19;33;81;7;93;36;5
tile:xla:04ae9238c653f8ae08f60f2c03615f0b,82;447;709;241;227;550;259;508;480;477
tile:xla:04f395ae8566cd29ae6eb122b6480ba3,46;199;156;16;117;319;75;82;324;35
tile:xla:05a0405379b68cb5bb54680646eb97c6,1304;1104;496;1212;2389;2006;113;806;2388;1181
tile:xla:05c0abccd28e57709cb7398bb0b70bf9,2355;3208;1458;3785;4485;7131;141;60;4604;7484
tile:xla:061c41ae2ccda6b7e1fcecaafd5e2008,72;48;1179;740;860;998;603;667;209;492
tile:xla:06b6b24f68232a7d19187a4ee3a2b9b1,13;17;73;137;163;412;426;481;663;716
tile:xla:0711c0f29bac9c9b912fe57d4a31be88,43;18;19;28;38;51;7;33;13;35
tile:xla:073c015cf2ebf91d3b4d94893da31a33,273;411;752;951;64;947;1025;791;715;931
tile:xla:074af5318871232370543bf5bf2e991b,635;413;242;590;454;208;75;688;457;582
tile:xla:076ff2d5d77f006c96b171cc1962fe48,743;24;154;230;268;301;451;513;219;641
tile:xla:07d2051941691e3b36a0d58232d9c34f,120;20;48;108;125;34;149;143;98;27
tile:xla:07d922af667a7a4399fa80edd648ae7f,2008;7736;5171;4921;2000;8104;5810;6940;2784;3094
tile:xla:0803ae2b827a5a92e8b2b80312e2350a,1;3;5;4;7;6;2;0;0;0
tile:xla:08bb62307395882da4a489ec932e1a4f,5094;5890;3733;1593;5234;882;7158;1645;1497;999
tile:xla:08bf844bda28efb17644fe3fb7fcc082,482;401;92;448;1220;157;425;773;1255;156
tile:xla:08cdfab1c86ecfe243bc7ed2065ca7b0,1175;811;1227;964;133;1318;1281;839;798;1202
tile:xla:08dc5f54478cabe5b1a2b08883da60e4,8000;7966;6147;2565;3792;6919;8530;4523;359;4665
tile:xla:0913ee063d72cf059912035e08a86862,425;701;707;19;257;481;88;101;411;497
tile:xla:09df213cc5f3be5e3922190736afae9b,735;1329;1799;4151;1927;3994;39;1998;1378;1504
tile:xla:0a1c5dcfa9f1f4ebcc1282a1d1ca8ecb,0;1;2;3;4;5;6;7;8;9
tile:xla:0a3585c3e686065389227fa374175e48,607;70;122;215;248;383;1223;713;1058;542
tile:xla:0a8a2b247d7a20b9dcab1daf50066a4d,557;455;659;512;536;377;764;480;182;520
tile:xla:0abaea94d7b0a1c1f1b0bd23b73ce38c,26;45;22;3;21;37;41;18;12;1
tile:xla:0ac539372cc77cc6791794b369b984e1,550;561;732;752;1175;1178;1690;2467;2549;2568
tile:xla:0afa527a7022415fda1dd69d11e908a4,158;210;69;212;122;20;25;38;79;87
tile:xla:0b1983055544b0277319cb706f11bf56,3;4;7;6;5;2;1;0;0;0
tile:xla:0d23832b4d6670db056226014176e4af,2139;3971;751;990;4618;4915;3107;3634;4117;4477
tile:xla:0dda1d26ec2609bec11ef9661f529bfb,63;76;30;83;70;116;119;92;20;22
tile:xla:0de02b077422c57c3282f04bdcae1fdf,11;26;27;33;36;104;118;122;78;95
tile:xla:0e1d33b1970552b377d424b806132711,2449;2841;1032;1132;1949;3754;192;1018;1165;1664
tile:xla:0e666fc96496dd3049f4a3ce9b3bf4dc,2579;1928;1020;2849;2134;1655;510;543;1649;912
tile:xla:0e6e4837cc6125e58e2afcf7e9804584,725;120;234;1163;130;1563;510;671;1425;1439
tile:xla:0e7d77d9118d564df7ebd3bc61086e2b,610;680;163;107;101;674;580;428;35;45
tile:xla:0ec5369adfde7c2b8e52d97990becee8,1290;207;775;1168;1374;1862;3725;3873;4508;4987
tile:xla:0ed6f75b75ba97c4a9dee913e3690f2a,566;4493;9480;9504;7858;6059;1232;7745;3797;9211
tile:xla:0f49adf7da68c0f9b69405d6d863816b,931;910;151;517;233;746;560;336;372;288
tile:xla:0f4f897211283a93ca279575ac231d5a,3482;751;1672;2722;3824;956;3498;3893;1910;358
tile:xla:0f8b6139f6d128f1fc0482a35050448d,8782;2889;1749;3866;636;8589;4270;3576;1079;1117
tile:xla:0f9fde2acd8eea35157488571e1bc1ae,118;253;50;248;0;31;32;109;138;304
tile:xla:0fd5945bea27dee5d3e4ea7ccf012e06,265;4093;2125;2898;459;4368;2926;4440;3843;3263
tile:xla:1000f473d6c618219fdfb6c4eeb9f03f,245;157;448;313;11;27;110;133;148;190
tile:xla:104b674432f698be9d1164c5abd6db75,404;786;990;992;1149;1263;913;882;969;1338
tile:xla:106cefc4a7230c15586f1ed457232c6d,392;640;2445;2473;3277;4046;4604;6005;6941;7481
tile:xla:10a02953356f912fd0a6f4be23b9dd9e,28;484;336;202;304;580;97;74;88;551
tile:xla:10b37e0464c9dc1c70ac26626e5beb70,873;363;402;454;189;160;556;197;891;690
tile:xla:10e126d03e8451966ec3082875cdce02,85;102;90;8;114;69;23;143;146;183
tile:xla:11569b31e163289279988ae47bf50177,11;3;2;4;5;1;7;6;13;10
tile:xla:1179db33653909e17eddceb731a5d92a,25;450;397;115;163;192;449;210;140;164
tile:xla:119a97d54473021402f5f1d362d1a129,21;1;6;8;12;14;16;17;18;19
tile:xla:120d4e4b6ec49cb6ab32f527704e4610,8830;6490;8556;5844;8654;8302;4934;5759;6710;1156
tile:xla:1262c284f35d8c83f6e6aa2f19faf889,3342;5022;1610;4771;2499;2330;3280;3928;3415;4004
tile:xla:12a232c7bb624792e902c3dfcd42b706,6;76;58;2;4;12;20;40;41;47
tile:xla:136b5499a5411037285d59e0b2b21ca1,59;85;197;265;377;428;464;478;606;694
tile:xla:13bf46020490a2a812528dabd5a47823,193;188;368;126;702;524;906;745;498;265
tile:xla:14847f95e52bfa2da0565e4f05eadd0e,10;18;1;21;8;11;19;4;25;9
tile:xla:148fe6237924d9a64faf8289115d6050,61;136;74;49;123;133;15;45;2;54
tile:xla:14faba54480440b977ab29f97770ad28,50;25;32;34;4;15;7;36;2;13
tile:xla:150b0b4d911eb9c0923c34f80af22be4,290;154;642;670;819;473;666;590;84;113
tile:xla:1544612e369833deae23e81cd90cc5bf,64;48;1;5;11;14;15;33;49;56
tile:xla:155a7cf472204eb76b052c496536c0a8,190;19;61;155;304;494;75;123;178;231
tile:xla:158d794a0870c5166bf7900622032d95,264;1513;886;1383;164;1219;1014;1042;1083;1305
tile:xla:159061a0da97566cd04d0c51ee0efbbf,870;6481;7347;2607;3991;6420;1199;1752;3092;3398
tile:xla:159d90cce2f0df252cc0f6f21728e6b8,353;725;1586;2001;4730;222;1748;2394;947;1844
tile:xla:15b5fa7228c41027de7ff2b131827982,71;106;100;25;41;107;23;66;22;21
tile:xla:15f6904c770c8dc50d4359c664d95531,337;663;404;688;586;92;423;253;915;271
tile:xla:162728365ee29c87c0c949d8d835736a,112;190;109;198;188;8;73;96;126;181
tile:xla:16b302030606136527dc215d11aa3ef0,184;59;8;23;55;73;109;251;288;291
tile:xla:16c4e5535f133899e026d1b219af8574,645;45;63;290;312;388;401;430;463;491
tile:xla:171416b221d3a5043bb01cea0d75da5e,28;5;17;37;25;19;31;29;38;16
tile:xla:17680ef6b07a04d302bfc3c71c4dc68d,21;100;135;61;79;101;141;82;130;105
